#,Name,Onboarding Status,Referral Agreement Signed?,BA SF (Referral Split),Capital Category,Product Types,Industries Served,Deal Size,Cost of Capital,Revenue Requirements,Required Documentation,Relationship Owner,Website,Contact Name,Contact Email,Contact Phone,Meeting Notes,Marketing Materials (Drive Link),Referral Agreement (Link)
1,Haut Finance,Signed,Yes,50/50,"Structured Finance, Investment Banking, Trade Finance, Corporate Advisory","Structured Finance, Supply Chain Finance, Trade Finance, Project Finance, Debt Raising, Private Equity Placement, M&A Advisory, Bond Placements, Working Capital Finance, Vendor Financing, Receivables Discounting, Mezzanine Capital, Convertible Instruments","Real Estate, Infrastructure, Manufacturing, Consumer Brands, Agriculture, FMCG, Technology, Media & Entertainment, Government & Public Sector Projects",100M-1B,,4x Loan,,Ryan,,,,,,https://drive.google.com/file/d/10Yz0YWFNyA10i7T4u71-Dz7lm1pwaG7O/view?usp=drive_link,
2,BDIM,Signed,Yes - Email is Referral,20% of what they make (2 %) Orgination Fee,BDIM CRE Debt Advisory / Bridge Lending / Real Estate Finance Brokerage,"Acquisition financing, refinance financing, bridge loans, bank debt, hard money/private loans, CMBS, mezzanine debt, agency debt, Fannie Mae, Freddie Mac, credit union financing","Investment real estate owners across major CRE asset classes; borrowers with upcoming loan maturities, acquisition needs, refinance needs, or long-term relationship potential",$1M+ minimum; will consider smaller files case-by-case; sweet spot $3M–$100M; no stated maximum,"Varies by loan type, lender, leverage, asset class, and transaction structure; bridge lending tear sheet indicates 11%–12% interest rate and 2 points origination fee","No specific revenue requirement stated; underwriting likely based on property cash flow, borrower/sponsor strength, collateral, loan request, and exit strategy",Debt advisory deck; bridge lending tear sheet; executive summary; address/property information; loan request; leases/rent roll; YTD profit & loss statement; PFS; SREO,Ryan,https://www.bdim.com/,Noah Rhine,noah@bdim.com,(516) 660-5693,,https://drive.google.com/file/d/1O0sU8t5VestpZIrlOjJO5zf4fyGMXmzu/view?usp=drive_linkhttps://drive.google.com/file/d/1DHevR8yrqr5jGH6eca7cYFhO9jWR5szQ/view?usp=drive_link,
3,Big Think Capital,Signed,Yes,**30% of all BTC commissions and fees received (including origination fees); paid after cleared funding.**,Marketplace Lender / Small Business Finance,"SBA Loans, Term Loans, Business Lines of Credit, Commercial Real Estate Loans, Equipment Financing, Working Capital Financing","General Small Business, Commercial Real Estate, Equipment-Intensive Businesses",SBA Loans: Up to $5M; Business Lines of Credit: $5K–$1M; Commercial Real Estate Loans: Up to $50M; Equipment Financing: Up to Equipment Cost; Term Loans: Varies; Working Capital Financing: Varies,"Varies by product and borrower profile; SBA loans are generally lower-cost with longer repayment terms but take longer to close; working capital is faster and easier to qualify for but typically higher-cost; term loans, LOC, CRE, and equipment financing pricing depends on credit, revenue, time in business, collateral, and risk profile","SBA: 640+ credit score; term loans: $100K+ annual revenue, 1+ year in business, 660+ credit; LOC: $10K+ monthly revenue, 600+ credit; CRE: 620+ credit; equipment financing: $10K+ monthly revenue, 2+ years in business, 600+ credit; working capital: $5K+ monthly revenue, credit score as low as 450",Application form; business bank statements; business and personal tax returns depending on product/loan size; personal financial statement for SBA; schedule of real estate for CRE; equipment invoice for equipment financing,Ryan,www.bigthinkcapital.com,Jake Navarro,jake.navarro@bigthinkcapital.com,516-475-2061,,https://drive.google.com/file/d/1kqekcpgdOeLSdYSIfPdF7L9o9mTRONtW/view?usp=drive_link,
4,Awaken Finance,In Progress,Willing to share economics,Willing to share economics,Crypto / Digital Asset Multi-Family Office & Structured Finance Investor,"Structured Finance, Structured Products, Fund Investments, Direct Investments, Strategic Capital, Venture Capital","Cryptocurrency, Blockchain, Web3, DeFi, Digital Asset Infrastructure, FinTech",Institutional Scale ($1M+ to $100M+; exact ranges not publicly disclosed),,,,Ryan,,,,,,Follow up,
5,GMO Payment Gateway,No Program,NO referral fee - must charge the client 1-2%,NO referral fee - must charge the client 1-2%,Fintech Venture Debt / Asset-Based Lending Platform,"Venture Debt, Asset-Based Lending (ABL), Cash Flow Lending, Growth Capital, Working Capital Facilities, Structured Credit, Credit Facilities, Fintech Lending","SaaS, Fintech, Technology, Ecommerce, Venture-Backed Companies, High-Growth Businesses, Digital Platforms",$500K–$50M+,,,,Ryan,https://www.gmo-pg.com/en/,Taka K.,kamahara@gmo-pg.com,,,Follow up,
6,C6,Signed,Yes,50% of Company's underwriting/origination fee (typically 2%–5% of funded amount) for each referred client that closes financing; effective payout to Agent generally equals 1%–2.5% of funded loan amount.,Special Situations Credit Fund / Structured Finance Lender,"Bridge Loans, Working Capital, Acquisition Financing, Partner Buyouts, IPO Bridges, Growth Capital, Event-Driven Financing, Rescue Capital, Subordinated Debt, Senior Secured Loans, Asset-Based Loans, Revenue-Based Financing, Recurring Revenue Financing, Non-Dilutive Venture Debt","Healthcare, Manufacturing, Industrials, Logistics, Transportation, Construction, SaaS, Technology, Media, Telecom, Consumer Products, Retail, Energy, Real Estate, Professional Services, Staffing, Agriculture, Automotive, Cannabis, Medical Devices","$250,000 – $15,000,000+",MOIC of 1.15x–1.45x; 1–12 month terms; 30%–50% early prepayment discount available; no equity ownership required,"Typically funds up to 10% of TTM run-rate revenue; U.S.-based companies preferred; private, sponsor-backed, and public companies eligible","No formal checklist stated; likely financials, revenue support, collateral details, AR/inventory/contracts, ownership/guarantor info, repayment source, and security documents",Ryan,www.c6capllc.com,Chris Mazzella,cmazzella@c6cap.com,914-213-4165,,https://drive.google.com/file/d/1RE9ualTTnM3_vpnUi2Kyu6CZfA7dCb8i/view?usp=drive_link https://drive.google.com/file/d/1nXxHSMH7vjEmEqmenIaaLYw59dI8UTEW/view?usp=drive_link https://drive.google.com/file/d/1nXxHSMH7vjEmEqmenIaaLYw59dI8UTEW/view?usp=drive_link https://drive.google.com/file/d/1BFY0Bp9dhCx_fPrek_LtRJmUjxfiFV4A/view?usp=drive_link,
7,Clearco,Signed,Yes,10% of fees for first 3 months; 5% of fees for following 9 months on funded invoices from referred customers.,Revenue-Based Financing Platform / Ecommerce Working Capital Provider,"Invoice Funding, Inventory Financing, Receipt Financing, Working Capital Advances, Cash Advances, Fixed Funding Capacity, Rolling Funding Capacity","Ecommerce, Consumer Products, Apparel, Fashion, Beauty, Cosmetics, Health & Wellness, DTC Brands, Amazon Sellers, Shopify Merchants, BigCommerce Merchants","Invoice Funding ($10K–$10M+), Inventory & Supplier Financing ($25K–$10M+), Receipt Financing ($10K–$5M+), Working Capital & Cash Advances ($10K–$10M+), Growth Capital ($100K–$10M+)",Fixed fee of 3.63%–12.5% depending on the selected 4–6 month extension plan; no periodic or compounding interest; total fee is disclosed upfront and does not increase during the extension period,"Funding capacity is based on business performance, revenue, and selected extension plan; Clearco reviews synced sales account and bank account data to determine preliminary funding capacity","No formal document checklist stated; requires connected sales accounts such as Shopify or Amazon, connected business bank accounts, and invoices for invoice funding / supplier invoice financing",,www.clear.co,Sam Bell,samuel.bell@clearbanc.com,,,https://drive.google.com/file/d/1DXLzLwid6Kw2XpGwTEY2ZcpokFBBBmD1/view?usp=drive_link https://drive.google.com/file/d/18m8GIb_o_fCeGg4WL1jp4vSmGqIqupz8/view?usp=drive_linkRyan,
8,Reiger Shore (Greg),Signed,Yes,50% of fees collected by Reiger Shore from referred clients,Debt Capital Advisory / Specialty Finance Advisory (Access to 300 lenders),"Working Capital Financing, Acquisition Financing, Growth Capital, Bridge Loans, Asset-Based Lending, Accounts Receivable Financing, Inventory Financing, Equipment Financing, Structured Debt, Refinancing, Capital Raising","Manufacturing, Distribution, Transportation, Logistics, Healthcare, Consumer Products, Retail, Construction, Professional Services, Business Services, Technology, Industrials",$250K–$50M+,,,,Ryan,,,,,,https://drive.google.com/file/d/1kIW5VJ5xM_m4WD9B9_KNVhBeKvI_oS2y/view?usp=drive_link,
9,ARC,In Progress,Updated referral pending,10% of Arc Success Fees on transactions funded by lenders introduced,Cash Management & Capital Markets Platform / Tech-Enabled Debt Advisory,"Cash management, treasury accounts, brokerage yield accounts, business accounts, corporate card/spend tools, DACA/control accounts, debt raise/debt marketplace, venture debt, warehouse facilities, leasing credit facilities, equipment financing, M&A facilities, and CFO Agent/AI financial tools","Technology companies, SaaS, AI, fintech, venture-backed startups, ecommerce, B2B software, healthcare technology, equipment-heavy companies, and high-growth companies","Series A debt generally $5M–$10M; example target debt amount of $5M; transaction examples include $10M equipment deal, $20M M&A facility, $50M leasing revolving credit facility, and $200M credit card warehouse facility","No stated borrower interest rate or debt pricing; Arc helps source competitive lender terms and may earn success fees on funded transactions; platform offers up to 4.06%–4.51% net yield on brokerage depending on membership tier, but this is yield earned on cash, not cost of debt","No specific revenue requirement stated; target users are technology, startup, venture-backed, and high-growth companies seeking cash management, treasury, DACA/control account services, or institutional debt capital","AI-enabled data room, uploaded documents, connected data sources, financials, borrower materials, company data, sales/bank/account information as applicable, and additional lender diligence depending on facility type",Ryan,https://www.joinarc.com/,Daniel Stuccilli,daniel@joinarc.com,,Met with Omid Izadjou(oizadjou@joinarc.com) June 22nd- VP of Revenue / Reached out to Daniel Regarding updated referral agreement 6/23/26https://docs.google.com/document/d/1wZ31RBTtvWbwA0-tuYEvA4PAR_tDIKJQRANl2WBVqRQ/edit?tab=t.ieevcpfemzdk,https://drive.google.com/file/d/1kIW5VJ5xM_m4WD9B9_KNVhBeKvI_oS2y/view?usp=drive_link,
10,Liquid Ventures limited (Crypto Lending),Signed,Yes,**0.5% origination fee on loans up to $25M; 0.5% on loans $25M–$100M; 1.0% on loans over $100M.**,Liquidity Ventures – Bitcoin-focused accelerator and referral partner. Does not provide lending directly; referred BA to JTSA for potential financing opportunities.,,,,,,,,,,M@liquidityventures.io,,Reached Out regarding Marketing materials,,
11,Ready Capital,In Progress,Pending need to fill out W9- Sent Wiring instructions,,"SBA Lending, CRE Lending, Government-Guaranteed Lending","SBA 7(a) Loans, SBA 504 Loans, USDA B&I Loans, Commercial Mortgages, Bridge Loans, Construction Loans, Working Capital Loans, Acquisition Financing","Manufacturing, Industrial, Healthcare, Hospitality, Retail, Automotive, Warehousing, Self-Storage, Agriculture, Food Supply Chain, Construction, Franchise, Commercial Real Estate","SBA: $350,000–$7,000,000 | USDA B&I: Up to $25,000,000","USDA B&I rates typically 5-year T-bill + 4.50%–5.50%; SBA 7(a) pricing not specifically stated, but offers longer-term government-backed financing with low borrower equity requirements, ability to finance closing costs, and limited/no prepayment penalties","No specific revenue requirement stated; SBA 7(a) real estate must generally be owner-occupied or utilized at more than 51%; USDA B&I must be in eligible rural areas/towns under 50,000 population or qualifying county/parish locations","No formal documentation checklist stated; likely SBA/USDA application, business financials, tax returns, personal financial statement, use-of-funds details, real estate/equipment information, ownership documents, and eligibility support depending on loan type",Robert /Ryan,https://readycapital.com/,Karen Domingo,Karen.Domingo@readycapital.com,(973) 577-4661,,https://drive.google.com/file/d/1YwVinVQ7PQityjdo7Bc10TkVrAkuyXSE/view?usp=drive_link https://drive.google.com/file/d/1G_594kQ8lsF5qy8Z7qUyOEyGXe0CbsFI/view?usp=drive_linkhttps://drive.google.com/file/d/1GRBHh_4O8C7qCQGo2deS-uCOybNLpFAx/view?usp=drive_link,
